Division Number: 276
Division Date: 11/12/2018

Government's managmenet of the meaningful vote debate

Aye Count: 0
Noes Count: 299

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Steve Brine","Conservative","Winchester","No Vote Recorded",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No Vote Recorded",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No",""
"Lyn Brown","Labour","West Ham","No",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","No",""
"Fiona Bruce","Conservative","Congleton","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda","No",""
"Karen Buck","Labour","Westminster North","No",""
"Robert Buckland","Conservative","South Swindon","No Vote Recorded",""
"Richard Burden","Labour","Birmingham, Northfield","No",""
"Alex Burghart","Conservative","Brentwood and Ongar","No Vote Recorded",""
"Richard Burgon","Labour","Leeds East","No",""
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"Alistair Burt","Conservative","North East Bedfordshire","No Vote Recorded",""
"Dawn Butler","Labour","Brent Central","No",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","No",""
"Vince Cable","Liberal Democrat","Twickenham","No",""
"Ruth Cadbury","Labour","Brentford and Isleworth","No",""
"Alun Cairns","Conservative","Vale of Glamorgan","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Ronnie Campbell","Labour","Blyth Valley","No",""
"Alan Campbell","Labour","Tynemouth","Teller - Ayes",""
"Dan Carden","Labour","Liverpool, Walton","No",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No",""
"James Cartlidge","Conservative","South Suffolk","No Vote Recorded",""
"William Cash","Conservative","Stone","No Vote Recorded",""
"Maria Caulfield","Conservative","Lewes","No Vote Recorded",""
"Alex Chalk","Conservative","Cheltenham","No Vote Recorded",""
"Sarah Champion","Labour","Rotherham","No",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No",""
"Jenny Chapman","Labour","Darlington","No",""
"Bambos Charalambous","Labour","Enfield, Southgate","No",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No Vote Recorded",""
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","No Vote Recorded",""
"Colin Clark","Conservative","Gordon","No Vote Recorded",""
"Greg Clark","Conservative","Tunbridge Wells","No Vote Recorded",""
"Kenneth Clarke","Conservative","Rushcliffe","No Vote Recorded",""
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No Vote Recorded",""
"James Cleverly","Conservative","Braintree","No Vote Recorded",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No Vote Recorded",""
"Ann Clwyd","Labour","Cynon Valley","No",""
"Vernon Coaker","Labour","Gedling","No",""
"Ann Coffey","Labour","Stockport","No",""
"Th?r?se Coffey","Conservative","Suffolk Coastal","No Vote Recorded",""
"Damian Collins","Conservative","Folkestone and Hythe","No Vote Recorded",""
"Julie Cooper","Labour","Burnley","No",""
"Rosie Cooper","Labour","West Lancashire","No",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","No",""
"Jeremy Corbyn","Labour","Islington North","No",""
"Alberto Costa","Conservative","South Leicestershire","No Vote Recorded",""
"Robert Courts","Conservative","Witney","No Vote Recorded",""
"Ronnie Cowan","Scottish National Party","Inverclyde","No",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No Vote Recorded",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","No",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No Vote Recorded",""
"David Crausby","Labour","Bolton North East","No",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No",""
"Mary Creagh","Labour","Wakefield","No",""
"Stella Creasy","Labour","Walthamstow","No",""
"Tracey Crouch","Conservative","Chatham and Aylesford","No Vote Recorded",""
"Jon Cruddas","Labour","Dagenham and Rainham","No",""
"John Cryer","Labour","Leyton and Wanstead","No",""
"Judith Cummins","Labour","Bradford South","No",""
"Alex Cunningham","Labour","Stockton North","No",""
"Jim Cunningham","Labour","Coventry South","No",""
"Janet Daby","Labour","Lewisham East","No",""
"Nic Dakin","Labour","Scunthorpe","Teller - Noes",""
"Edward Davey","Liberal Democrat","Kingston and Surbiton","No",""
"Wayne David","Labour","Caerphilly","No",""
"Chris Davies","Conservative","Brecon and Radnorshire","No Vote Recorded",""
"David T. C. Davies","Conservative","Monmouth","No Vote Recorded",""
"Geraint Davies","Labour","Swansea West","No",""
"Glyn Davies","Conservative","Montgomeryshire","No Vote Recorded",""
"Mims Davies","Conservative","Eastleigh","No Vote Recorded",""
"Philip Davies","Conservative","Shipley","No Vote Recorded",""
"David Davis","Conservative","Haltemprice and Howden","No Vote Recorded",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No",""
"Marsha De Cordova","Labour","Battersea","No",""
"Gloria De Piero","Labour","Ashfield","No",""
"Thangam Debbonaire","Labour","Bristol West","No",""
"Emma Dent Coad","Labour","Kensington","No",""
"Tanmanjeet Singh Dhesi","Labour","Slough","No",""
"Caroline Dinenage","Conservative","Gosport","No Vote Recorded",""
"Jonathan Djanogly","Conservative","Huntingdon","No Vote Recorded",""
"Leo Docherty","Conservative","Aldershot","No Vote Recorded",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","No",""
"Anneliese Dodds","Labour","Oxford East","No",""
"Nigel Dodds","Democratic Unionist Party","Belfast North","No Vote Recorded",""
"Jeffrey M. Donaldson","Democratic Unionist Party","Lagan Valley","No Vote Recorded",""
"Michelle Donelan","Conservative","Chippenham","No Vote Recorded",""
"Nadine Dorries","Conservative","Mid Bedfordshire","No Vote Recorded",""
"Steve Double","Conservative","St Austell and Newquay","No Vote Recorded",""
"Stephen Doughty","Labour","Cardiff South and Penarth","No",""
"Peter Dowd","Labour","Bootle","No",""
"Oliver Dowden","Conservative","Hertsmere","No Vote Recorded",""
"Jackie Doyle-Price","Conservative","Thurrock","No Vote Recorded",""
"Richard Drax","Conservative","South Dorset","No Vote Recorded",""
"David Drew","Labour","Stroud","No",""
"Jack Dromey","Labour","Birmingham, Erdington","No",""
"James Duddridge","Conservative","Rochford and Southend East","No Vote Recorded",""
"Rosie Duffield","Labour","Canterbury","No",""
"David Duguid","Conservative","Banff and Buchan","No Vote Recorded",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","No Vote Recorded",""
"Alan Duncan","Conservative","Rutland and Melton","No Vote Recorded",""
"Philip Dunne","Conservative","Ludlow","No Vote Recorded",""
"Maria Eagle","Labour","Garston and Halewood","No",""
"Angela Eagle","Labour","Wallasey","No",""
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","No",""
"Clive Efford","Labour","Eltham","No",""
"Julie Elliott","Labour","Sunderland Central","No",""
"Michael Ellis","Conservative","Northampton North","No Vote Recorded",""
"Louise Ellman","Labour","Liverpool, Riverside","No",""
"Tobias Ellwood","Conservative","Bournemouth East","No Vote Recorded",""
"Chris Elmore","Labour","Ogmore","No",""
"Charlie Elphicke","Independent","Dover","No Vote Recorded",""
"Bill Esterson","Labour","Sefton Central","No",""
"George Eustice","Conservative","Camborne and Redruth","No Vote Recorded",""
"Chris Evans","Labour","Islwyn","No",""
"Nigel Evans","Conservative","Ribble Valley","No Vote Recorded",""
"David Evennett","Conservative","Bexleyheath and Crayford","No Vote Recorded",""
"Michael Fabricant","Conservative","Lichfield","No Vote Recorded",""
"Michael Fallon","Conservative","Sevenoaks","No Vote Recorded",""
"Paul Farrelly","Labour","Newcastle-under-Lyme","No",""
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No",""
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","No",""
"Frank Field","Independent","Birkenhead","No",""
"Mark Field","Conservative","Cities of London and Westminster","No Vote Recorded",""
"Jim Fitzpatrick","Labour","Poplar and Limehouse","No",""
"Colleen Fletcher","Labour","Coventry North East","No",""
"Caroline Flint","Labour","Don Valley","No",""
"Vicky Ford","Conservative","Chelmsford","No Vote Recorded",""
"Kevin Foster","Conservative","Torbay","No Vote Recorded",""
"Yvonne Fovargue","Labour","Makerfield","No",""
"Liam Fox","Conservative","North Somerset","No Vote Recorded",""
"Vicky Foxcroft","Labour","Lewisham, Deptford","Teller - Noes",""
"Mark Francois","Conservative","Rayleigh and Wickford","No Vote Recorded",""
"Lucy Frazer","Conservative","South East Cambridgeshire","No Vote Recorded",""
"George Freeman","Conservative","Mid Norfolk","No Vote Recorded",""
"Mike Freer","Conservative","Finchley and Golders Green","No Vote Recorded",""
"James Frith","Labour","Bury North","No",""
"Gill Furniss","Labour","Sheffield, Brightside and Hillsborough","No",""
"Marcus Fysh","Conservative","Yeovil","No Vote Recorded",""
"Hugh Gaffney","Labour","Coatbridge, Chryston and Bellshill","No",""
"Roger Gale","Conservative","North Thanet","No Vote Recorded",""
"Mike Gapes","Labour","Ilford South","No",""
"Barry Gardiner","Labour","Brent North","No",""
"Mark Garnier","Conservative","Wyre Forest","No Vote Recorded",""
"David Gauke","Conservative","South West Hertfordshire","No Vote Recorded",""
"Ruth George","Labour","High Peak","No",""
"Stephen Gethins","Scottish National Party","North East Fife","No",""
"Nusrat Ghani","Conservative","Wealden","No Vote Recorded",""
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","No Vote Recorded",""
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","No",""
"Michelle Gildernew","Sinn F?in","Fermanagh and South Tyrone","No Vote Recorded",""
"Preet Kaur Gill","Labour","Birmingham, Edgbaston","No",""
"Cheryl Gillan","Conservative","Chesham and Amersham","No Vote Recorded",""
"Paul Girvan","Democratic Unionist Party","South Antrim","No Vote Recorded",""
"John Glen","Conservative","Salisbury","No Vote Recorded",""
"Mary Glindon","Labour","North Tyneside","No",""
"Roger Godsiff","Labour","Birmingham, Hall Green","No",""
"Zac Goldsmith","Conservative","Richmond Park","No Vote Recorded",""
"Helen Goodman","Labour","Bishop Auckland","No",""
"Robert Goodwill","Conservative","Scarborough and Whitby","No Vote Recorded",""
"Michael Gove","Conservative","Surrey Heath","No Vote Recorded",""
"Patrick Grady","Scottish National Party","Glasgow North","No",""
"Luke Graham","Conservative","Ochil and South Perthshire","No Vote Recorded",""
"Richard Graham","Conservative","Gloucester","No Vote Recorded",""
"Bill Grant","Conservative","Ayr, Carrick and Cumnock","No Vote Recorded",""
"Helen Grant","Conservative","Maidstone and The Weald","No Vote Recorded",""
"Peter Grant","Scottish National Party","Glenrothes","No",""
"James Gray","Conservative","North Wiltshire","No Vote Recorded",""
"Neil Gray","Scottish National Party","Airdrie and Shotts","No Vote Recorded",""
"Chris Grayling","Conservative","Epsom and Ewell","No Vote Recorded",""
"Chris Green","Conservative","Bolton West","No Vote Recorded",""
"Damian Green","Conservative","Ashford","No Vote Recorded",""
"Kate Green","Labour","Stretford and Urmston","No",""
"Justine Greening","Conservative","Putney","No Vote Recorded",""
"Lilian Greenwood","Labour","Nottingham South","No",""
"Margaret Greenwood","Labour","Wirral West","No",""
"Dominic Grieve","Conservative","Beaconsfield","No Vote Recorded",""
"Nia Griffith","Labour","Llanelli","No",""
"Andrew Griffiths","Independent","Burton","No Vote Recorded",""
"John Grogan","Labour","Keighley","No",""
"Andrew Gwynne","Labour","Denton and Reddish","No",""
"Sam Gyimah","Conservative","East Surrey","No Vote Recorded",""
"Louise Haigh","Labour","Sheffield, Heeley","No",""
"Kirstene Hair","Conservative","Angus","No Vote Recorded",""
"Robert Halfon","Conservative","Harlow","No Vote Recorded",""
"Luke Hall","Conservative","Thornbury and Yate","No Vote Recorded",""
"Fabian Hamilton","Labour","Leeds North East","No",""
"Philip Hammond","Conservative","Runnymede and Weybridge","No Vote Recorded",""
"Stephen Hammond","Conservative","Wimbledon","No Vote Recorded",""
"Matt Hancock","Conservative","West Suffolk","No Vote Recorded",""
"Greg Hands","Conservative","Chelsea and Fulham","No Vote Recorded",""
"David Hanson","Labour","Delyn","No",""
"Emma Hardy","Labour","Kingston upon Hull West and Hessle","No",""
"Harriet Harman","Labour","Camberwell and Peckham","No",""
"Mark Harper","Conservative","Forest of Dean","No Vote Recorded",""
"Richard Harrington","Conservative","Watford","No Vote Recorded",""
"Carolyn Harris","Labour","Swansea East","No",""
"Rebecca Harris","Conservative","Castle Point","No Vote Recorded",""
"Trudy Harrison","Conservative","Copeland","No Vote Recorded",""
"Simon Hart","Conservative","Carmarthen West and South Pembrokeshire","No Vote Recorded",""
"Helen Hayes","Labour","Dulwich and West Norwood","No",""
"John Hayes","Conservative","South Holland and The Deepings","No Vote Recorded",""
"Sue Hayman","Labour","Workington","No",""
"Chris Hazzard","Sinn F?in","South Down","No Vote Recorded",""
"Oliver Heald","Conservative","North East Hertfordshire","No Vote Recorded",""
"John Healey","Labour","Wentworth and Dearne","No",""
"James Heappey","Conservative","Wells","No Vote Recorded",""
"Chris Heaton-Harris","Conservative","Daventry","No Vote Recorded",""
"Peter Heaton-Jones","Conservative","North Devon","No Vote Recorded",""
"Gordon Henderson","Conservative","Sittingbourne and Sheppey","No Vote Recorded",""
"Mark Hendrick","Labour","Preston","No",""
"Drew Hendry","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey","No",""
"Stephen Hepburn","Labour","Jarrow","No",""
"Nick Herbert","Conservative","Arundel and South Downs","No Vote Recorded",""
"Lady Hermon","Independent","North Down","No Vote Recorded",""
"Mike Hill","Labour","Hartlepool","No",""
"Meg Hillier","Labour","Hackney South and Shoreditch","No",""
"Damian Hinds","Conservative","East Hampshire","No Vote Recorded",""
"Simon Hoare","Conservative","North Dorset","No Vote Recorded",""
"Wera Hobhouse","Liberal Democrat","Bath","No",""
"Margaret Hodge","Labour","Barking","No",""
"Sharon Hodgson","Labour","Washington and Sunderland West","No",""
"Kate Hoey","Labour","Vauxhall","No",""
"Kate Hollern","Labour","Blackburn","No",""
"George Hollingbery","Conservative","Meon Valley","No Vote Recorded",""
"Kevin Hollinrake","Conservative","Thirsk and Malton","No Vote Recorded",""
"Philip Hollobone","Conservative","Kettering","No Vote Recorded",""
"Adam Holloway","Conservative","Gravesham","No Vote Recorded",""
"Kelvin Hopkins","Independent","Luton North","No",""
"Stewart Hosie","Scottish National Party","Dundee East","No",""
"George Howarth","Labour","Knowsley","No",""
"John Howell","Conservative","Henley","No Vote Recorded",""
"Lindsay Hoyle","Deputy Speaker","Chorley","No Vote Recorded",""
"Nigel Huddleston","Conservative","Mid Worcestershire","No Vote Recorded",""
"Eddie Hughes","Conservative","Walsall North","No Vote Recorded",""
"Jeremy Hunt","Conservative","South West Surrey","No Vote Recorded",""
"Rupa Huq","Labour","Ealing Central and Acton","No",""
"Nick Hurd","Conservative","Ruislip, Northwood and Pinner","No Vote Recorded",""
"Imran Hussain","Labour","Bradford East","No",""
"Alister Jack","Conservative","Dumfries and Galloway","No Vote Recorded",""
"Margot James","Conservative","Stourbridge","No Vote Recorded",""
"Christine Jardine","Liberal Democrat","Edinburgh West","No",""
"Dan Jarvis","Labour","Barnsley Central","No",""
"Sajid Javid","Conservative","Bromsgrove","No Vote Recorded",""
"Ranil Jayawardena","Conservative","North East Hampshire","No Vote Recorded",""
"Bernard Jenkin","Conservative","Harwich and North Essex","No Vote Recorded",""
"Andrea Jenkyns","Conservative","Morley and Outwood","No Vote Recorded",""
"Robert Jenrick","Conservative","Newark","No Vote Recorded",""
"Boris Johnson","Conservative","Uxbridge and South Ruislip","No Vote Recorded",""
"Diana Johnson","Labour","Kingston upon Hull North","No",""
"Caroline Johnson","Conservative","Sleaford and North Hykeham","No Vote Recorded",""
"Gareth Johnson","Conservative","Dartford","No Vote Recorded",""
"Joseph Johnson","Conservative","Orpington","No Vote Recorded",""
"Andrew Jones","Conservative","Harrogate and Knaresborough","No Vote Recorded",""
"Darren Jones","Labour","Bristol North West","No",""
"Gerald Jones","Labour","Merthyr Tydfil and Rhymney","No",""
"Graham P Jones","Labour","Hyndburn","No",""
"Helen Jones","Labour","Warrington North","No",""
"David Jones","Conservative","Clwyd West","No Vote Recorded",""
"Kevan Jones","Labour","North Durham","No",""
"Marcus Jones","Conservative","Nuneaton","No Vote Recorded",""
"Sarah Jones","Labour","Croydon Central","No",""
"Susan Elan Jones","Labour","Clwyd South","No",""
"Mike Kane","Labour","Wythenshawe and Sale East","No",""
"Daniel Kawczynski","Conservative","Shrewsbury and Atcham","No Vote Recorded",""
"Gillian Keegan","Conservative","Chichester","No Vote Recorded",""
"Barbara Keeley","Labour","Worsley and Eccles South","No",""
"Liz Kendall","Labour","Leicester West","No",""
"Seema Kennedy","Conservative","South Ribble","No Vote Recorded",""
"Stephen Kerr","Conservative","Stirling","No Vote Recorded",""
"Afzal Khan","Labour","Manchester, Gorton","No",""
"Ged Killen","Labour","Rutherglen and Hamilton West","No",""
"Stephen Kinnock","Labour","Aberavon","No",""
"Julian Knight","Conservative","Solihull","No Vote Recorded",""
"Greg Knight","Conservative","East Yorkshire","No Vote Recorded",""
"Kwasi Kwarteng","Conservative","Spelthorne","No Vote Recorded",""
"Peter Kyle","Labour","Hove","No",""
"Eleanor Laing","Deputy Speaker","Epping Forest","No Vote Recorded",""
"Lesley Laird","Labour","Kirkcaldy and Cowdenbeath","No",""
"Ben Lake","Plaid Cymru","Ceredigion","No",""
"Norman Lamb","Liberal Democrat","North Norfolk","No",""
"David Lammy","Labour","Tottenham","No",""
"John Lamont","Conservative","Berwickshire, Roxburgh and Selkirk","No Vote Recorded",""
"Mark Lancaster","Conservative","Milton Keynes North","No Vote Recorded",""
"Pauline Latham","Conservative","Mid Derbyshire","No Vote Recorded",""
"Ian Lavery","Labour","Wansbeck","No",""
"Chris Law","Scottish National Party","Dundee West","No",""
"Andrea Leadsom","Conservative","South Northamptonshire","No Vote Recorded",""
"Phillip Lee","Conservative","Bracknell","No Vote Recorded",""
"Karen Lee","Labour","Lincoln","No",""
"Jeremy Lefroy","Conservative","Stafford","No Vote Recorded",""
"Edward Leigh","Conservative","Gainsborough","No Vote Recorded",""
"Chris Leslie","Labour","Nottingham East","No",""
"Oliver Letwin","Conservative","West Dorset","No Vote Recorded",""
"Emma Lewell-Buck","Labour","South Shields","No",""
"Andrew Lewer","Conservative","Northampton South","No Vote Recorded",""
"Brandon Lewis","Conservative","Great Yarmouth","No Vote Recorded",""
"Clive Lewis","Labour","Norwich South","No",""
"Julian Lewis","Conservative","New Forest East","No Vote Recorded",""
"Ivan Lewis","Independent","Bury South","No",""
"Ian Liddell-Grainger","Conservative","Bridgwater and West Somerset","No Vote Recorded",""
"David Lidington","Conservative","Aylesbury","No Vote Recorded",""
"David Linden","Scottish National Party","Glasgow East","No",""
"Emma Little Pengelly","Democratic Unionist Party","Belfast South","No Vote Recorded",""
"Stephen Lloyd","Independent","Eastbourne","No Vote Recorded",""
"Tony Lloyd","Labour","Rochdale","No",""
"Rebecca Long Bailey","Labour","Salford and Eccles","No",""
"Julia Lopez","Conservative","Hornchurch and Upminster","No Vote Recorded",""
"Jack Lopresti","Conservative","Filton and Bradley Stoke","No Vote Recorded",""
"Jonathan Lord","Conservative","Woking","No Vote Recorded",""
"Tim Loughton","Conservative","East Worthing and Shoreham","No Vote Recorded",""
"Caroline Lucas","Green Party","Brighton, Pavilion","No",""
"Ian C. Lucas","Labour","Wrexham","No",""
"Holly Lynch","Labour","Halifax","No Vote Recorded",""
"Craig Mackinlay","Conservative","South Thanet","No Vote Recorded",""
"Rachel Maclean","Conservative","Redditch","No Vote Recorded",""
"Angus Brendan MacNeil","Scottish National Party","Na h-Eileanan an Iar","No",""
"Justin Madders","Labour","Ellesmere Port and Neston","No",""
"Khalid Mahmood","Labour","Birmingham, Perry Barr","No",""
"Shabana Mahmood","Labour","Birmingham, Ladywood","No",""
"Anne Main","Conservative","St Albans","No Vote Recorded",""
"Alan Mak","Conservative","Havant","No Vote Recorded",""
"Seema Malhotra","Labour","Feltham and Heston","No",""
"Kit Malthouse","Conservative","North West Hampshire","No Vote Recorded",""
"John Mann","Labour","Bassetlaw","No",""
"Scott Mann","Conservative","North Cornwall","No Vote Recorded",""
"Gordon Marsden","Labour","Blackpool South","No",""
"Sandy Martin","Labour","Ipswich","No",""
"Rachael Maskell","Labour","York Central","No",""
"Paul Maskey","Sinn F?in","Belfast West","No Vote Recorded",""
"Paul Masterton","Conservative","East Renfrewshire","No Vote Recorded",""
"Christian Matheson","Labour","City of Chester","No",""
"Theresa May","Conservative","Maidenhead","No Vote Recorded",""
"Paul Maynard","Conservative","Blackpool North and Cleveleys","No Vote Recorded",""
"Steve McCabe","Labour","Birmingham, Selly Oak","No",""
"Elisha McCallion","Sinn F?in","Foyle","No Vote Recorded",""
"Kerry McCarthy","Labour","Bristol East","No",""
"Siobhain McDonagh","Labour","Mitcham and Morden","No",""
"Andy McDonald","Labour","Middlesbrough","No",""
"Stewart Malcolm McDonald","Scottish National Party","Glasgow South","No",""
"Stuart C. McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East","No",""
"John McDonnell","Labour","Hayes and Harlington","No",""
"Pat McFadden","Labour","Wolverhampton South East","No",""
"Conor McGinn","Labour","St Helens North","No",""
"Alison McGovern","Labour","Wirral South","No",""
"Liz McInnes","Labour","Heywood and Middleton","No",""
"Catherine McKinnell","Labour","Newcastle upon Tyne North","No",""
"Patrick McLoughlin","Conservative","Derbyshire Dales","No Vote Recorded",""
"Jim McMahon","Labour","Oldham West and Royton","No",""
"Anna McMorrin","Labour","Cardiff North","No",""
"John McNally","Scottish National Party","Falkirk","No",""
"Stephen McPartland","Conservative","Stevenage","No Vote Recorded",""
"Esther McVey","Conservative","Tatton","No Vote Recorded",""
"Ian Mearns","Labour","Gateshead","No",""
"Mark Menzies","Conservative","Fylde","No Vote Recorded",""
"Johnny Mercer","Conservative","Plymouth, Moor View","No Vote Recorded",""
"Huw Merriman","Conservative","Bexhill and Battle","No Vote Recorded",""
"Stephen Metcalfe","Conservative","South Basildon and East Thurrock","No Vote Recorded",""
"Edward Miliband","Labour","Doncaster North","No",""
"Maria Miller","Conservative","Basingstoke","No Vote Recorded",""
"Amanda Milling","Conservative","Cannock Chase","No Vote Recorded",""
"Nigel Mills","Conservative","Amber Valley","No Vote Recorded",""
"Anne Milton","Conservative","Guildford","No Vote Recorded",""
"Andrew Mitchell","Conservative","Sutton Coldfield","No Vote Recorded",""
"Francie Molloy","Sinn F?in","Mid Ulster","No Vote Recorded",""
"Carol Monaghan","Scottish National Party","Glasgow North West","No",""
"Madeleine Moon","Labour","Bridgend","No",""
"Damien Moore","Conservative","Southport","No Vote Recorded",""
"Layla Moran","Liberal Democrat","Oxford West and Abingdon","No",""
"Penny Mordaunt","Conservative","Portsmouth North","No Vote Recorded",""
"Jessica Morden","Labour","Newport East","No",""
"Nicky Morgan","Conservative","Loughborough","No Vote Recorded",""
"Stephen Morgan","Labour","Portsmouth South","No",""
"Anne Marie Morris","Conservative","Newton Abbot","No Vote Recorded",""
"David Morris","Conservative","Morecambe and Lunesdale","No Vote Recorded",""
"Grahame Morris","Labour","Easington","No",""
"James Morris","Conservative","Halesowen and Rowley Regis","No Vote Recorded",""
"Wendy Morton","Conservative","Aldridge-Brownhills","No Vote Recorded",""
"David Mundell","Conservative","Dumfriesshire, Clydesdale and Tweeddale","No Vote Recorded",""
"Ian Murray","Labour","Edinburgh South","No",""
"Sheryll Murray","Conservative","South East Cornwall","No Vote Recorded",""
"Andrew Murrison","Conservative","South West Wiltshire","No Vote Recorded",""
"Lisa Nandy","Labour","Wigan","No",""
"Robert Neill","Conservative","Bromley and Chislehurst","No Vote Recorded",""
"Gavin Newlands","Scottish National Party","Paisley and Renfrewshire North","No",""
"Sarah Newton","Conservative","Truro and Falmouth","No Vote Recorded",""
